Аббревеатура,Объект,Адрес,Численность,Общая,Административная,Учебная,Иная
ИТТСУ,ГУК-4,"ул. Новосущевская, д.22, стр.3",248,20163.9,3000.7,8145.7,9017.5
ИПСС,ГУК-7,"Минаевский пер., д. 2",281,16636.8,3698.1,5708.7,7230.0
РОАТ,РОАТ 1 корпус,"Часовая ул., д. 22/2, стр. 1",257,15770.3,3902.3,4165.6,7702.4
ИУЦТ,ГУК-1,"ул. Образцова, д. 9, стр.9",289,14622.0,4223.7,4800.9,5597.4
ИЭФ,ГУК-3,"ул. Новосущевская, д.22, стр.2",218,14183.7,2373.4,5337.8,6472.5
МКТ,МКТ 1 корпус Люблинская,"Люблинская ул., д.88, стр.1",36,11534.6,771.2,4901.5,5861.9
ИТТСУ,ГУК-2,"ул. Новосущевская, д.22, стр.1",152,9999.5,1512.5,3416.1,5070.9
РАПС,РАПС,"Октябрьский пер., д.7",51,6066.0,2556.2,960.1,2549.7
ДК,ДК,"Новосущевский пер,6,1",40,5491.1,1349.8,209.9,3931.4
МКТ,МКТ 2 корпус,"Кучин пер., д.14, стр.2",0,4779.7,386.5,2336.5,2056.7
ЮИ,ГУК-6,"Ул. Образцова, д.9, стр.4",151,4647.2,826.2,2161.7,1659.3
ИМТК,ГУК-12,"Новосущевская ул., д.26а",64,4552.8,413.9,1932.4,2206.5
МКТ,МКТ 1 корпус,"Кучин пер., д.14, стр.1",75,4528.4,1003.4,1206.3,2318.7
МКТ,МКТ 4 корпус,"Кучин пер., д.14, стр.15",20,4394.6,245.1,1861.0,2288.5
МКТ,МКТ 3 корпус,"Кучин пер., д.14, стр.9",28,3918.8,367.5,1154.3,2397.0
Гимназия,Гимназия,"3-я Мытищинская ул., д. 12, стр. 1",25,3618.1,163.4,1561.7,1893.0
ДФК,ДФК,"ул. Новосущевская, д.24, стр.1",16,3439.0,214.8,1509.3,1714.9
Адм,ГУК-3,"ул. Новосущевская, д.22, стр.2",0,3112.2,2035.4,0.0,1076.8
РОАТ,РОАТ 2 корпус,"Часовая ул., д. 22/2, стр. 2",47,3051.0,897.7,1042.9,1110.4
АБП,ГУК-14,"ул. Образцова, д.9, стр.8",35,2759.9,429.5,1117.0,1213.4
МК,Мед. коледж,"ул. Будайская, д.2, стр.18",65,2615.2,595.1,1031.8,988.3
ДФК,ДФК манеж,"ул. Новосущевская, д.24, стр.2",6,2559.1,26.3,2158.7,374.1
Адм,ГУК-1,"ул. Образцова, д. 9, стр.9",52,1955.9,1955.9,0.0,0.0
РОАТ,РОАТ УЛК,"3-й Балтийский пер., д. 3",19,1779.1,328.0,520.6,930.5
ИУЦТ,ГУК-5,"ул. Образцова, д. 9, стр.3",15,1564.7,267.1,667.8,629.8
Гимназия,Гимназия,"2-й Лучевой просек, 5А",13,1556.1,86.9,504.4,964.8
Адм,ГУК-10,"ул. Образцова, д. 9, стр.1",171,1529.7,1491.1,0.0,38.6
ДФК,ДФК,"ул. Космонавтов, д. 11, стр. 2",3,1324.0,17.5,586.2,720.3
РОАТ,РОАТ 3 корпус,"Часовая ул., д. 22/2, стр. 3",0,1289.0,0.0,0.0,1289.0
Адм,ГУК-4,"ул. Новосущевская, д.22, стр.3",23,1128.2,1128.2,0.0,0.0
ДК,ДК,"Новосущевский пер,6,1",0,1090.3,727.4,0.0,362.9
Рук,ГУК-1,"ул. Образцова, д. 9, стр.9",10,1022.7,968.1,0.0,54.6
РАПС,РАПС,"2-й Вышеславцев пер., д.17",12,926.0,166.4,375.7,383.9
Адм,ГУК-10,"ул. Образцова, д. 9, стр.1",0,890.9,0.0,0.0,890.9
Центры,ГУК-7,"Минаевский пер., д. 2",20,811.3,811.3,0.0,0.0
Адм,ГУК-2,"ул. Новосущевская, д.22, стр.1",35,783.3,783.3,0.0,0.0
Адм,ГУК-7,"Минаевский пер., д. 2",5,726.1,726.1,0.0,0.0
Адм,ГУК-12,"Новосущевская ул., д.26а",0,723.0,723.0,0.0,0.0
Адм,ГУК-13,"ул. Образцова, д.9, стр.7",27,469.4,469.4,0.0,0.0
Адм,ГУК-13,"ул. Образцова, д.9, стр.7",0,465.3,0.0,0.0,465.3
Музей,ГУК-1,"ул. Образцова, д. 9, стр.9",6,437.2,437.2,0.0,0.0
Адм,РОАТ 1 корпус,"Часовая ул., д. 22/2, стр. 1",0,437.0,324.5,0.0,112.5
Центры,ГУК-1,"ул. Образцова, д. 9, стр.9",19,430.8,430.8,0.0,0.0
Адм,ГУК-11,"ул. Новосущевская, д.22, стр.7",6,411.7,115.5,0.0,296.2
Адм,ГУК-6,"Ул. Образцова, д.9, стр.4",14,354.3,73.0,0.0,281.3
Адм,ДК,"Новосущевский пер,6,1",19,314.1,223.0,0.0,91.1
ИПСС,ГУК-1,"ул. Образцова, д. 9, стр.9",0,258.9,258.9,0.0,0.0
ВУЦ,ГУК-12,"Новосущевская ул., д.26а",10,228.0,97.3,0.0,130.7
МК,Поликлиника,"Новосущевская ул., д.18",0,222.8,222.8,0.0,0.0
Адм,РОАТ 3 корпус,"Часовая ул., д. 22/2, стр. 3",0,178.1,178.1,0.0,0.0
Наука,ГУК-7,"Минаевский пер., д. 2",17,162.7,162.7,0.0,0.0
Центры,ГУК-13,"ул. Образцова, д.9, стр.7",7,141.8,141.8,0.0,0.0
Центры,ГУК-3,"ул. Новосущевская, д.22, стр.2",9,130.4,101.2,0.0,29.2
Рук,ГУК-10,"ул. Образцова, д. 9, стр.1",4,128.4,114.4,0.0,14.0
ИТТСУ,ГУК-3,"ул. Новосущевская, д.22, стр.2",0,127.5,0.0,127.5,0.0
Центры,ГУК-2,"ул. Новосущевская, д.22, стр.1",7,126.4,126.4,0.0,0.0
АБП,ГУК-1,"ул. Образцова, д. 9, стр.9",0,121.6,121.6,0.0,0.0
АБП,ГУК-2,"ул. Новосущевская, д.22, стр.1",16,121.0,121.0,0.0,0.0
Адм,ГУК-14,"ул. Образцова, д.9, стр.8",8,104.2,104.2,0.0,0.0
Адм,ГУК-11,"ул. Новосущевская, д.22, стр.7",0,102.2,0.0,0.0,102.2
Центры,ГУК-4,"ул. Новосущевская, д.22, стр.3",9,100.9,100.9,0.0,0.0
Центры,ГУК-12,"Новосущевская ул., д.26а",5,87.1,87.1,,
Наука,ГУК-1,"ул. Образцова, д. 9, стр.9",0,84.6,84.6,0.0,0.0
ДФК,ДФК манеж,"ул. Новосущевская, д.24, стр.2",18,79.2,79.2,0.0,0.0
Адм,РАПС,"Октябрьский пер., д.7",7,70.3,70.3,0.0,0.0
ПК,ГУК-6,"Ул. Образцова, д.9, стр.4",32,69.8,69.8,0.0,0.0
Рук,ГУК-13,"ул. Образцова, д.9, стр.7",2,66.3,66.3,0.0,0.0
Церковь,ГУК-1,"ул. Образцова, д. 9, стр.9",0,52.4,52.4,0.0,0.0
АВТ,ГУК-4,"ул. Новосущевская, д.22, стр.3",7,49.0,49.0,0.0,0.0
Наука,ГУК-2,"ул. Новосущевская, д.22, стр.1",6,23.7,23.7,0.0,0.0
Центры,РОАТ 1 корпус,"Часовая ул., д. 22/2, стр. 1",1,20.1,20.1,0.0,0.0
Центры,РАПС,"Октябрьский пер., д.7",1,17.9,17.9,0.0,0.0
ДФК,ДФК,"ул. Новосущевская, д.24, стр.1",1,16.5,16.5,0.0,0.0
Наука,РАПС,"Октябрьский пер., д.7",1,11.8,11.8,0.0,0.0
Центры,ГУК-14,"ул. Образцова, д.9, стр.8",6,11.1,11.1,0.0,0.0
АВТ,АВТ,"Новоданиловская наб., д. 2, к. 1",51,22228.9,4499.700000000003,5489.3,12239.9
,,,2798,,,,
